Date;Venue;Run;Gate;ref_time;athlete_name_ref;athlete_2_time;athlete_name_athlete_2;time_difference;relative_time_difference
2024-01-24;Schladming;2;2;0.8;GSTREIN Fabio;0.8;ROCHAT Marc;0.0;0.0
2024-01-24;Schladming;1;3;0.866;STRASSER Linus;0.833;YULE Daniel;0.03300000000000003;3.8106235565819895
2024-01-24;Schladming;2;3;0.4;GSTREIN Fabio;0.433;ROCHAT Marc;-0.032999999999999974;-8.249999999999993
2024-01-24;Schladming;1;4;0.4;STRASSER Linus;0.466;YULE Daniel;-0.066;-16.5
2024-01-24;Schladming;2;4;1.0;GSTREIN Fabio;0.966;ROCHAT Marc;0.03400000000000003;3.400000000000003
2024-01-24;Schladming;1;5;0.866;STRASSER Linus;0.9;YULE Daniel;-0.03400000000000003;-3.926096997690535
2024-01-24;Schladming;2;5;0.7;GSTREIN Fabio;0.7;ROCHAT Marc;0.0;0.0
2024-01-24;Schladming;1;6;0.666;STRASSER Linus;0.733;YULE Daniel;-0.06699999999999995;-10.060060060060051
2024-01-24;Schladming;2;6;0.966;GSTREIN Fabio;0.9;ROCHAT Marc;0.06599999999999995;6.832298136645957
2024-01-24;Schladming;1;7;0.9;STRASSER Linus;0.866;YULE Daniel;0.03400000000000003;3.7777777777777812
2024-01-24;Schladming;2;7;0.8;GSTREIN Fabio;0.933;ROCHAT Marc;-0.133;-16.625
2024-01-24;Schladming;1;8;0.766;STRASSER Linus;0.766;YULE Daniel;0.0;0.0
2024-01-24;Schladming;2;8;0.9;GSTREIN Fabio;0.933;ROCHAT Marc;-0.03300000000000003;-3.66666666666667
2024-01-24;Schladming;1;9;0.866;STRASSER Linus;0.8;YULE Daniel;0.06599999999999995;7.6212471131639665
2024-01-24;Schladming;2;9;0.833;GSTREIN Fabio;0.9;ROCHAT Marc;-0.06700000000000006;-8.043217286914773
2024-01-24;Schladming;1;10;0.766;STRASSER Linus;0.833;YULE Daniel;-0.06699999999999995;-8.746736292428192
2024-01-24;Schladming;2;10;0.466;GSTREIN Fabio;0.433;ROCHAT Marc;0.03300000000000003;7.081545064377688
2024-01-24;Schladming;1;11;1.366;STRASSER Linus;1.3;YULE Daniel;0.06600000000000006;4.831625183016109
